task,model,predictor,ratio,metric,value
wikitext2_ppl,gpt2,attention_entropy_true,0.2,ppl,1285.04
wikitext2_ppl,gpt2,attention_entropy_true,0.3,ppl,6279.22
wikitext2_ppl,gpt2,magnitude,0.1,ppl,93.94
wikitext2_ppl,gpt2,magnitude,0.2,ppl,202.78
wikitext2_ppl,gpt2,magnitude,0.3,ppl,252.97
wikitext2_ppl,gpt2,attention_weight,0.1,ppl,87.67
wikitext2_ppl,gpt2,attention_weight,0.2,ppl,198.82
wikitext2_ppl,gpt2,attention_weight,0.3,ppl,330.79
wikitext2_ppl,gpt2,random,0.1,ppl,502.0
wikitext2_ppl,gpt2,random,0.2,ppl,2439.82
wikitext2_ppl,gpt2,random,0.3,ppl,1554.46
sst2,textattack/bert-base-uncased-SST-2,ridge_combined,0.1,accuracy,0.781
sst2,textattack/bert-base-uncased-SST-2,ridge_combined,0.2,accuracy,0.5126
sst2,textattack/bert-base-uncased-SST-2,ridge_combined,0.3,accuracy,0.5092
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_combined,0.1,accuracy,0.8452
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_combined,0.2,accuracy,0.6823
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_combined,0.3,accuracy,0.4908
wikitext2_ppl,gpt2,ridge_combined,0.1,ppl,307.2147
wikitext2_ppl,gpt2,ridge_combined,0.2,ppl,639.6486
wikitext2_ppl,gpt2,ridge_combined,0.3,ppl,932.8967
sst2,textattack/bert-base-uncased-SST-2,ridge_wavelet_only,0.1,accuracy,0.7672
sst2,textattack/bert-base-uncased-SST-2,ridge_wavelet_only,0.2,accuracy,0.5092
sst2,textattack/bert-base-uncased-SST-2,ridge_wavelet_only,0.3,accuracy,0.5092
sst2,textattack/bert-base-uncased-SST-2,ridge_attn_only,0.1,accuracy,0.867
sst2,textattack/bert-base-uncased-SST-2,ridge_attn_only,0.2,accuracy,0.8188
sst2,textattack/bert-base-uncased-SST-2,ridge_attn_only,0.3,accuracy,0.8119
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_wavelet_only,0.1,accuracy,0.8337
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_wavelet_only,0.2,accuracy,0.4908
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_wavelet_only,0.3,accuracy,0.4908
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_attn_only,0.1,accuracy,0.9094
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_attn_only,0.2,accuracy,0.883
sst2,distilbert-base-uncased-finetuned-sst-2-english,ridge_attn_only,0.3,accuracy,0.8739
wikitext2_ppl,gpt2,ridge_wavelet_only,0.1,ppl,720.5991
wikitext2_ppl,gpt2,ridge_wavelet_only,0.2,ppl,459.1995
wikitext2_ppl,gpt2,ridge_wavelet_only,0.3,ppl,1135.0804
wikitext2_ppl,gpt2,ridge_attn_only,0.1,ppl,101.0011
wikitext2_ppl,gpt2,ridge_attn_only,0.2,ppl,117.5013
wikitext2_ppl,gpt2,ridge_attn_only,0.3,ppl,229.6754
